"CARRIER","CARRIER_NAME","START_DATE_SOURCE","THRU_DATE_SOURCE",
"GW","Central American Airlines",1990-10-01,1994-12-31,
"GWE","Ross Aviation Inc.",1960-01-01,2002-09-30,
"GW","SkyGreece Airlines S A",2015-06-01,,
"GX","Air Ontario Limited",1982-10-01,1989-12-31,
"GY","Guyana Airways Corporation",1981-07-01,2001-04-30,
"H2","City Bird",1997-03-01,2000-09-30,
"H5","Magadan Airlines",1997-10-01,2005-10-31,
"H6","Hageland Aviation Service",2003-04-01,,
"H7","Venture Travel LLC d/b/a Taquan Air Service",2003-04-01,2004-03-31,
"HAG","Hageland Aviation Service",1986-09-01,2001-12-31,
"HAG","Hageland Aviation Service",2002-01-01,2003-03-31,
"HA","Hawaiian Airlines Inc.",1960-01-01,2008-12-31,
"HA","Hawaiian Airlines Inc.",2009-01-01,,
"HAQ","Hapag Lloyd Flug.",1983-02-01,2001-11-30,
"HAR","Friendship Air Alaska",1982-03-01,1990-12-31,
"HB","Air Club International",1994-10-01,1997-10-31,
"HB","Homer Air",2005-04-01,2015-12-31,
"HBQ","Harris Air Services",2005-01-01,,
"HCQ","Av Atlantic",1992-01-01,1997-02-28,
"HEL","Helitrans",1986-03-01,2002-09-30,
"HEP","Hub Express",1987-10-01,2002-09-30,
"HER","Markair Express",1983-06-01,1997-12-31,
"HET","Helitac Aviation",1987-06-01,2002-09-30,
"HEU","Heussler Air Service Corp",1960-01-01,2002-09-30,
"HFQ","Haiti Air Freight Intl",1987-12-01,1998-09-30,
"HFS","Hensley Flying Service Inc.",1960-01-01,2002-09-30,
"HIQ","Business Flights Ltd.",1981-07-01,1989-12-31,
"HJ","Air Haiti S. A.",1981-07-01,1993-03-31,
"HK","South Pacific Island Airway",1981-07-01,1987-09-30,
"HK","Time Air Sweden Ab",1992-10-01,1993-02-28,
"HLQ","Heavylift Cargo Airlines Lt",1981-08-01,,
"HMZ","Long Island Airlines",1960-01-01,2002-09-30,
"HNA","Piedmont Airlines",1960-01-01,2002-09-30,
"HNA","Piedmont Airlines",2002-10-01,2005-03-31,
"HNS","Haines Airways",1986-09-01,2002-12-31,
"HOL","Holiday Airlines Inc.",1960-01-01,2002-09-30,
"HO","Mid Pacific Airlines Inc.",1985-10-01,1987-09-30,
"HOQ","Holidair Airways",1989-01-01,1989-06-30,
"HOR","Iowa Airlines",1960-01-01,2002-09-30,
"HOZ","Horizon Air",1960-01-01,1984-08-31,
"HP","America West Airlines Inc.",1983-06-01,2007-09-30,
"HPZ","Pacific Coast Airlines",1960-01-01,2002-09-30,
"HQ","Business Express",1992-04-01,1996-03-31,
"HQ","Harmony Airways",2004-06-01,2007-06-30,
"HQ","Hmy Airways Inc.",2002-12-01,2004-05-31,
"HQQ","Harlequin Air Corporation",1998-04-01,2004-04-30,
"HRA","Trans-National Airlines Haw",1960-01-01,2002-09-30,
"HRG","Heritage Airlines",1989-09-01,1990-12-31,
"HRQ","Tar Airlines",1981-07-01,1989-12-31,
"HRZ","Allegheny Airlines",1960-01-01,2002-09-30,
"HRZ","Allegheny Airlines",2002-10-01,2004-06-30,
"HSV","Harbor Air Service",1985-04-01,1994-12-31,
"HSZ","Scenic Airlines Inc.",1960-01-01,2002-09-30,
"HUB","Skystream Airlines",1960-01-01,2002-09-30,
"HU","Hainan Airlines Company Limited",2008-06-01,,
"HU","Northern Air Cargo Inc.",1982-12-01,1996-07-31,
"HVQ","Transavia Holland B. V.",1981-07-01,1989-12-31,
"HWK","Hawking Corporation",1960-01-01,2002-09-30,
"HX","Guy-America Airways Inc.",1981-07-01,1983-03-31,
"HX","Hong Kong Airlines Limited",2016-05-01,,
"HYA","Hyannis Aviation",1960-01-01,2002-09-30,
"HYP","Hyperion Aviation Ltd. dba Hyperion",2019-11-01,,
"HY","Uzbekistan Airways",1995-04-01,,
"I4","Scott Air LLC dba Island Air Express",2015-10-01,,
"IA","Iraqi Airways",1988-09-01,1989-12-31,
"IAS","Island Air Service",1999-03-01,2001-12-31,
"IAS","Island Air Service",2002-01-01,2003-09-30,
"IAT","Iliamna Air Service",1960-01-01,2001-12-31,
"IAT","Iliamna Air Taxi",2002-01-01,2003-03-31,
"IB","Iberia Air Lines Of Spain",1981-07-01,,
"ICF","Iowa City Flying Service",1960-01-01,2002-09-30,
"ICH","Island Air Charters",1994-09-01,1994-12-31,
"ICQ","Iscargo Hf",1981-07-01,1989-12-31,
"IDQ","Intl Air Service Co. Ltd.",1983-11-01,1989-03-31,
"IEX","Island Air Express",1985-09-01,2002-09-30,
"IFQ","FAI rent-a-jet AG",2011-11-01,,
"IGA","Global Jet Austria, GmbH",2007-05-01,,
"IG","Airitaly S.P.A.",2018-07-01,,
"IG","Meridiana S.p.A",2010-07-01,2018-06-30,
"III","Idee Industries Inc.",1960-01-01,2002-09-30,
"IJ","Air Liberte Aka Aom Minerve",2001-04-01,2001-10-31,
"IJ","Great Wall Airlines Company Limited",2008-06-01,2011-05-31,
"IKQ","Tradewinds Airways Ltd.",1981-07-01,1989-12-31,
"ILL","Air Illinois Inc.",1960-01-01,1982-12-31,
"IMP","Imperial Airlines Inc.",1960-01-01,1987-12-31,
"IN","Aerlinte Eireann Teoranta",1981-07-01,1989-12-31,
"INA","Inland Empire Airlines Inc.",1960-01-01,2002-09-30,
"IND","Indiana Airways Inc. (Pa)",1960-01-01,2002-09-30,
"INL","Inland Aviation Services",1999-09-01,2001-12-31,
"INL","Inland Aviation Services",2002-01-01,2003-03-31,
"INQ","Independent Air Inc.",1984-08-01,1991-07-31,
"IOW","Iowa Airways",1985-12-01,2002-09-30,
"IPI","Indo-Pacific International",1960-01-01,2002-09-30,
"IPQ","Aruba Cargo",1990-01-01,1992-11-30,
"IPS","Island Express",1991-10-01,2002-09-30,
"IR","Iran National Airlines Corp",1981-07-01,1989-12-31,
"IRQ","Interstate Airlines Inc.",1985-05-01,1988-10-31,
"ISL","Island Airlines",1960-01-01,2002-09-30,
"ITQ","Interamericana De Aviacion",1990-01-01,1997-12-31,
"IW","Air Liberte Aka Aom Minerve",2001-11-01,2002-03-31,
"IW","Aom Minerve S.A.",1993-05-01,2001-03-31,
"IW","Best Airlines Inc.",1982-07-01,1985-10-31,
"IXQ","Inair",1981-07-01,1989-12-31,
"J2","Azerbaijan Airlines CJSC",2014-09-01,,
"J5","Alaska Seaplane Service",2003-04-01,2013-03-31,
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",2013-04-01,,
"J6","Larrys Flying Service",2003-04-01,2004-09-30,
"J7","Valujet Airlines Inc.",1993-10-01,2000-04-30,
"JAG","JetAlliance Flugbetriebs d/b/a JAF Airservice",2008-04-01,,
"JAM","Sunbelt Airlines Inc.",1960-01-01,2002-09-30,
"JAQ","Jamaica Air Freighters",1997-08-01,2000-03-31,
"JB","Helijet International Inc.",2002-10-01,2005-09-30,
"JB","Helijet International Inc.",2010-10-01,,
"JCM","Air Chico",1960-01-01,2002-09-30,
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",2019-10-01,,
"JCQ","Jet Connection Businessflight Ag",2003-02-01,2008-12-31,
"JCZ","Rocky Mountain Airways Inc.",1960-01-01,1990-12-31,
"JD","Beijing Capital Airlines",2017-06-01,,
"JD","Japan Air System Co. Ltd.",1989-03-01,1997-02-28,
"JER","Jer-Don Air",1960-01-01,2002-09-30,
"JF","L.A.B. Flying Service Inc.",2003-04-01,2008-09-30,
"JH","Amerijet International",1987-10-01,1998-03-31,
"JI","Jade Cargo International",2007-03-01,,
"JI","Midway Airlines Inc.",1994-01-01,2002-12-31,
"JI","Midway Airlines Inc.",2003-01-01,2003-11-30,
"JIQ","Jet Fleet Intl. Airlines",1983-06-01,1992-10-31,
"JJ","Transportes Aeros Meridiona",1998-12-01,,
"JKQ","Express One International Inc.",1985-01-01,1998-12-31,
"JKQ","Express One International Inc.",1999-01-01,2001-12-31,
"JKQ","Express One International Inc.",2002-01-01,2004-07-31,
"JK","Spanair S.A.",1991-06-01,1995-11-30,
"JK","Spanair S.A.",1997-11-01,2001-09-30,
"JK","Sunworld International Airways Inc.",1983-06-01,1988-11-30,
"JL","Japan Air Lines Co. Ltd.",1981-07-01,,
"JM","Air Jamaica Limited",1981-07-01,2011-06-30,
"JMA","Jim Air Inc.",1997-06-01,2002-12-31,
"JN","Excel Airways",2005-05-01,2008-08-31,
"JO","Jalways Co. Ltd.",1999-10-01,2010-11-30,
"JQ","Jetstar Airways Pty Limited",2006-10-01,,
"JR","Aero California",1989-07-01,,
"JTA","Jetaire Airlines Inc.",1985-03-01,2002-09-30,
"JU","Air Serbia",2016-06-01,,
"JU","Yugoslav Airlines",1981-07-01,1992-04-30,
"JVQ","Prince Aviation",2019-07-01,,
"JW","Arrow Air Inc.",1981-06-01,1999-12-31,
"JW","Arrow Air Inc.",2000-01-01,2010-09-30,
"JX","Jes Air Ltd.",1991-07-01,1993-09-30,
"JXQ","Allarco Developments Ltd.",1981-07-01,1989-12-31,
"JX","Southeast Airlines",1999-02-01,2002-12-31,
"JX","Southeast Airlines",2003-01-01,2004-11-30,
"JX","Sun Jet International Inc.",1993-10-01,1997-10-31,
"JZ","Japan Air Charter Co. Ltd.",1991-07-01,1999-08-31,
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska",2017-07-01,2017-09-30,
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",2017-10-01,,
"K3","Venture Travel LLC d/b/a Taquan Air Service",2004-04-01,,
"K5","Seaport Airlines, Inc.",2016-01-01,2016-09-30,
"K5","SeaPort Airlines, Inc. d/b/a Wings of Alaska",2011-01-01,2015-12-31,
"K5","Wings Of Alaska",2003-04-01,2010-12-31,
"K7","Arizona Express",2005-01-01,2005-03-31,
"K8","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2010-07-01,2014-12-31,
"K8","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2015-01-01,2017-06-30,
"K8","Dutch Caribbean Airlines",2002-04-01,2004-09-30,
"KA1","Kenmore Air Express, LLC (subsidiary of Kenmore Air Harbor)",2020-01-01,,
"KAH","Kenmore Air Harbor",1985-09-01,2002-09-30,
"KAH","Kenmore Air Harbor",2002-10-01,,
"KA","Hong Kong Dragonair",1990-01-01,,
"KAI","Knight Airlines Inc.",1960-01-01,2002-09-30,
"KAQ","Kalitta Air LLC",2000-11-01,2002-12-31,
"KAQ","Kalitta Air LLC",2003-01-01,2003-12-31,
"KAQ","Kalitta Air LLC",2004-01-01,2011-12-31,
"KAQ","Kalitta Air LLC",2012-01-01,2014-12-31,
"KAQ","Kalitta Air LLC",2015-01-01,2019-12-31,
"KAQ","Kalitta Air LLC",2020-01-01,,
"KAT","Katmai Air",1994-06-01,2001-12-31,
"KAT","Katmai Air",2002-01-01,,
"KB","Haiti Air",1985-04-01,1989-12-31,
"KD","Western Global",2014-07-01,2018-12-31,
"KD","Western Global",2019-01-01,,
"KEA","Keene Airways",1992-06-01,2002-09-30,
"KEE","Key Airlines",1960-01-01,2002-09-30,
"KE","Korean Air Lines Co. Ltd.",1981-07-01,,
"KEQ","Key Airlines Inc.",1984-05-01,1992-04-30,
"KET","Ketchikan Air Service",1987-12-01,1998-12-31,
"KFQ","Skyfirst Limited",2018-11-01,,
"KFS","King Flying Service",1985-12-01,1989-12-31,
"KH","Aloha Air Cargo",2008-04-01,2018-12-31,
"KH","Aloha Air Cargo",2019-01-01,,
"KIN","Golden Pacific Airlines",1981-12-01,2002-09-30,
"KI","Time Air Ltd.",1988-01-01,1997-09-30,
"KKQ","Transmeridian Air Cargo Ltd.",1981-07-01,1989-12-31,
"KL","Klm Royal Dutch Airlines",1981-07-01,,
"KLQ","Kalitta Charters II",2004-01-01,2011-12-31,
"KLQ","Kalitta Charters II",2012-01-01,,
"KM","Air Malta",2000-06-01,2000-07-31,
"KN","Morris Air Corporation",1992-12-01,1994-10-31,
"KO","Alaska Central Express",2003-04-01,,
"KOD","Kodiak Airways Inc.",1983-03-01,2002-09-30,
"KP","Kiwi International",1992-09-01,1997-12-31,
"KP","Kiwi International",1998-01-01,2000-12-31,
"KQ","Kenya Airways PLC",2018-10-01,,
"KR","Kar-Air Oy",1981-07-01,1989-12-31,
"KR","Kitty Hawk Aircargo",1994-01-01,1998-12-31,
"KR","Kitty Hawk Aircargo",1999-01-01,2002-12-31,
"KR","Kitty Hawk Aircargo",2003-01-01,2008-03-31,
"KS","Peninsula Airways Inc.",2006-04-01,,
"KTQ","Turks Air Ltd.",1992-05-01,,
"KU","Kuwait Airways Corp.",1982-08-01,,
"KV","Sky Regional Airlines Inc.",2017-10-01,,
"KW","Carnival Air Lines Inc.",1991-07-01,1998-06-30,
"KW","Pacific Interstate Airlines",1989-10-01,1991-06-30,
"KWQ","Kelowna Flightcraft Air Cha",1981-07-01,1989-12-31,
"KWZ","Crown Air",1960-01-01,2002-09-30,
"KX","Cayman Airways Limited",1990-05-01,,
"KXQ","Cayman Airways Limited",1981-07-01,1990-04-30,
"KXZ","Chaparral Airlines Inc.",1960-01-01,2002-09-30,
"KZ","Nippon Cargo Airlines",1988-01-01,,
"L2","Lynden Air Cargo Airlines",1997-05-01,1998-12-31,
"L2","Lynden Air Cargo Airlines",1999-01-01,2012-12-31,
"L2","Lynden Air Cargo Airlines",2013-01-01,2014-12-31,
"L2","Lynden Air Cargo Airlines",2015-01-01,2019-12-31,
"L2","Lynden Air Cargo Airlines",2020-01-01,,
"L3","Lynx Aviation d/b/a Frontier Airlines",2009-10-01,2011-03-31,
"L4","Lynx Aviation d/b/a Frontier Airlines",2008-01-01,2009-09-30,
"L7","Lan Colombia",2009-04-01,,
"LAA","La Skycab Airline",1985-06-01,2002-09-30,
"LAB","L.A.B. Flying Service Inc.",2002-01-01,2003-03-31,
"LAH","La Helicopter",1986-03-01,2002-09-30,
"LA","Lan-Chile Airlines",1981-07-01,,
"LAN","Lancer Aviation Inc.",1960-01-01,2002-09-30,
"LAP","Lapsa",1990-09-01,2002-09-30,
"LAR","Laredo Air",1988-06-01,2002-09-30,
"LAS","Lake Union Air Service",1982-09-01,2002-09-30,
"LAW","Lawrence Aviation",1960-01-01,2002-09-30,
"LB","Lloyd Aereo Boliviano S. A.",1981-07-01,2007-12-31,
"LBQ","Millon Air Inc.",1985-10-01,1997-08-31,
"LC","Legend Airlines",2000-03-01,2000-12-31,
"LC","Lineas Aereas Del Caribe",1981-07-01,1996-05-31,
"LCQ","Latcr",1990-01-01,1993-01-31,
"LCT","Lake Coastal",1987-03-01,2002-09-30,
"LC","Varig Logistica S/A",2005-04-01,,
"LDM","Laudamotion GmbH",2016-03-01,,
"LDQ","Laudamotion Executive",2018-02-01,2020-11-30,
"LDQ","Sparfell Luftfahrt GmbH",2020-12-01,,
"LEQ","Le Point Air",1985-12-01,1989-12-31,
"LEX","L'Express",1990-09-01,2002-09-30,
"LF","CFM Inc d/b/a Contour Airlines",2016-07-01,2017-12-31,
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",2018-01-01,,
"LF","Jettrain Airlines",1996-01-01,1997-02-28,
"LFS","Larrys Flying Service",1986-03-01,2001-12-31,
"LFS","Larrys Flying Service",2002-01-01,2003-03-31,
"LG","Luxair",1999-03-01,2003-04-30,
"LGQ","Lineas Aereas Allegro",1993-04-01,2003-11-30,
"LHA","Havasu Airlines",1960-01-01,2002-09-30,
"LH","Lufthansa German Airlines",1981-07-01,,
"LIQ","Liat (1974) Limited",1981-11-01,1989-12-31,
"LJ","Jin Air Co Ltd.",2010-04-01,,
"LKN","Loken Aviation",1991-01-01,1995-12-31,
"LLA","Lakeland Aviation",1960-01-01,2002-09-30,
"LM","Alm Antillean Airlines",1981-07-01,2002-03-31,
"LNQ","Aerolineas Latinas",1990-04-01,1998-03-31,
"LO","Polskie Linie Lotnicze",1981-07-01,,
"LOQ","Lorair Ltd.",1999-05-01,2000-10-31,
"LOS","Aero Commuter",1960-01-01,2002-09-30,
"LP","Lan Peru Airlines",1999-11-01,,
"LP","The Hawaii Express Inc.",1982-10-01,1983-12-31,
"LR","Lacsa",1981-07-01,,
"LRQ","Air Liberte",1990-06-01,1996-11-30,
"LS","Jet2.com",2008-11-01,,
"LSQ","Lineas Aereas Suramerican",1993-06-01,2002-09-30,
"LSZ","Alaska Island Air Inc.",1983-06-01,2000-10-31,
"LT","Luftransport-Unternehmen",1981-07-01,2009-05-31,
"LU","Air Atlantic Dominicana",1997-03-01,1998-11-30,
"LUQ","Lineas Aereas La-Tur Sa",1988-12-01,1991-12-31,
"LVA","Las Vegas Airlines",1960-01-01,2002-09-30,
"LV","Linea Aeropostal Venezolana",1990-01-01,1994-07-31,
"LV","OPENSKIES SAS",2018-09-01,,
"LW","Pacific Wings Airlines",2006-01-01,2015-06-30,
"LXQ","Luxaviation Germany GmbH",2018-06-01,,
"LXQ","Translux Intl Airlines",1998-12-01,2001-04-30,
"LX","Swiss International Airlines",2002-04-01,,
"LY","El Al Israel Airlines Ltd.",1981-07-01,,
"LZ","Balkan Bulgarian Airlines",1992-12-01,1999-01-31,
"LZQ","Leisure International Airways Ltd.",1993-05-01,1996-12-31,
"M2","MHS Aviation GmbH",2021-02-01,,
"M3","ABSA-Aerolinhas Brasileiras",1998-08-01,,
"M6","Amerijet International",1998-04-01,2006-12-31,
"M6","Amerijet International",2007-01-01,,
"M7","Aerotransportes Mas De Crga",2005-07-01,,
"MAA","Maui Airlines",1985-09-01,2002-09-30,
"MAC","Mackey International Inc.",1960-01-01,1982-12-31,
"MAE","Mid-Atlantic Exp. Airlines",1983-03-01,2002-09-30,
"MAG","Magum Airlines",1960-01-01,2002-09-30,
"MAI","The Maui Commuter",1960-01-01,2002-09-30,
"MA","Malev Hungarian Airlines",1993-05-01,,
"MAQ","Millardair Limited",1981-07-01,1989-12-31,
"MAR","Marshall's Air Inc.",1960-01-01,2002-09-30,
"MAS","Mesa Airlines Inc.",1983-09-01,1995-02-28,
"MAV","Maverick Airways",1996-12-01,1998-12-31,
"MAX","Maxair Inc.",1960-01-01,2002-09-30,
"MB","Samoa Airlines Inc.",1985-02-01,1985-09-30,
"MCO","Mid Continental Airlines In",1960-01-01,2002-09-30,
"MC","Transtar Airlines Corp.",1981-08-01,1987-08-31,
"MDC","Midcontinent Airlines",1986-12-01,2002-09-30,
"MDQ","Aerotransportes Mas De Crga",1992-02-01,1992-09-30,
"MDU","Metro Airlines",1960-01-01,2002-09-30,
"MEA","Manhattan Express",1989-03-01,2002-09-30,
"ME","Middle East Airlines S.A.L.",1983-03-01,1989-12-31,
"MES","Mesaba Airlines",1960-01-01,1997-06-30,
"MET","Metroplex Airlines",1960-01-01,2002-09-30,
"MEX","Metro Express 11",1985-09-01,2002-09-30,
"MF","Xiamen Airlines Co., Ltd.",2016-09-01,,
"MG","Champion Air",1996-12-01,2000-12-31,
"MG","Champion Air",2001-01-01,2008-05-31,
"MG","MGM Grand Air Inc.",1987-08-01,1996-11-30,
"MGQ","Montana Austria Flugetrieb",1981-07-01,1989-12-31,
"MHK","Mohawk Airlines",1989-09-01,2002-09-30,
"MH","Malaysian Airline System",1986-12-01,,
"MHO","Mahalo Air",1994-12-01,1998-12-31,
"MIN","Minuteman Aviation Inc.",1982-03-01,2002-09-30,
"MIS","Midstate Airlines Inc.",1960-01-01,1990-12-31,
"MIW","Airborne Express Inc.",1981-06-01,2004-03-31,
"MIY","Midway Aviation Inc.",1960-01-01,2002-09-30,
"MJ","Lapa-Lineas Aereas Privadas",1999-08-01,2002-08-31,
"MKQ","Airmark Corporation",1984-07-01,1985-01-31,
"ML","Aero Costa Rica",1992-05-01,1997-08-31,
"MLL","Miller Air Transportersinc",1960-01-01,2002-09-30,
"ML","Midway Airlines Inc.",1979-11-01,1991-12-31,
"MLX","Merlin Express",1995-12-01,2002-09-30,
"MM","Euro Atlantic Airways",2004-06-01,2009-04-30,
"MMH","Ocean Airways Inc.",1960-01-01,2002-09-30,
"MMQ","Miami Air International",1991-10-01,1993-12-31,
"MMQ","Miami Air International",1994-01-01,2004-07-31,
"MM","Sociedad Aeronautica De Med",1981-07-01,1989-12-31,
"MNA","M & N Aviation",1997-06-01,2002-09-30,
"MNZ","Cumberland Airlines",1960-01-01,2002-09-30,
"MOQ","Morningstar Air Express",2004-01-01,,
"MPA","Mid Pacific Airlines Inc.",1960-01-01,1985-09-30,
"MPA","Mid Pacific Airlines Inc.",1987-10-01,1988-01-31,
"MPC","Mid Pacific Air Corp.",1988-06-01,1996-12-31,
"MP","Martinair Holland N.V.",1998-01-01,,
"MQ","American Eagle Airlines Inc.",1998-04-01,1999-12-31,
"MQ","American Eagle Airlines Inc.",2000-01-01,2014-03-31,
"MQ","Envoy Air",2014-04-01,,
"MQ","Simmons Airlines",1991-10-01,1998-03-31,
"MRC","Marco Island Airways Inc.",1960-01-01,1986-12-31,
"MRQ","Murray Air",2004-10-01,2007-12-31,
"MRQ","National Air Cargo Group, Inc. d/b/a Murray Air",2008-01-01,2010-12-31,
"MRQ","National Air Cargo Group, Inc. d/b/a Murray Air",2011-01-01,2015-12-31,
"MRR","Merrimack Aviation Inc.",1960-01-01,2002-09-30,
"MS","Egyptair",1985-11-01,,
"MSQ","Martinair Holland N.V.",1986-03-01,1997-12-31,
"MST","Midwest Aviation",1960-01-01,2002-09-30,
"MTA","Arkansas Traveler Airline",1960-01-01,2002-09-30,
"MT","Flying Colours Airlines Ltd.",1997-05-01,1997-11-30,
"MTR","Metroflight Airlines",1960-01-01,2002-09-30,
"MT","Thomas Cook Airlines Uk Ltd.",2008-05-01,,
"MTV","Mst Aviation",1987-03-01,2002-09-30,
"MTX","Mountain Air Express",1997-03-01,1998-12-31,
"MUA","Manu'a Air Transport",1982-12-01,2002-09-30,
"MU","China Eastern Airlines",1991-08-01,,
"MU","Mcclain Airlines Inc.",1986-09-01,1987-02-28,
"MUQ","Aerolineas Mundo",1988-04-01,1999-03-31,
"MVA","Mississippi Valley Airlines",1960-01-01,1989-12-31,
"MVQ","Aom Minerve S.A.",1983-11-01,1993-04-30,
"MWA","Mountain West Airlines",1985-12-01,2002-09-30,
"MW","Mokulele Flight Services, Inc.",2013-01-01,2020-03-31,
"MX","Compania Mexicana De Aviaci",1981-07-01,,
"MY","Aerotransportes Mas De Crga",1992-10-01,2005-06-30,
"MY","MAXjet",2005-11-01,2006-12-31,
"MY","MAXjet",2007-01-01,2007-12-31,
"MYQ","Lineas Aereas Mayas (Lamsa)",1990-01-01,2001-08-31,
"MZ","P.N. Merpati Nusantara Air.",1981-07-01,1989-12-31,
"N5","Nations Air Express Inc.",1995-03-01,1999-02-28,
"N5","Skagway Air Service",2005-01-01,2007-06-30,
"N6","Aero Continente",1999-11-01,,
"N7","National Airlines",1999-04-01,2002-11-30,
"N8","National Air Cargo Group Inc d/ba National Airlines",2016-01-01,2018-12-31,
"N8","National Air Cargo Group Inc d/ba National Airlines",2019-01-01,,
"NAC","National Air Commuter Inc.",1960-01-01,2002-09-30,
"NA","Executive Airlines",1990-07-01,1999-09-30,
"NA","North American Airlines",2005-01-01,2014-06-30,
"NAP","Npa Inc.",1987-12-01,2002-09-30,
"NAQ","Nationair",1987-03-01,1993-04-30,
"NAS","Nasville Eagle",1988-03-01,1998-12-31,
"NAT","National Air",1985-06-01,2002-09-30,
"NBQ","Sterling Airways A/S",1981-07-01,1993-10-31,
"NB","Sterling Cargo",1999-11-01,2000-07-31,
"NCA","National Commuter Airlines",1983-03-01,2002-09-30,
"NCE","Northcoast Executive",1990-03-01,2002-09-30,
"NC","Northern Air Cargo Inc.",1996-08-01,,
"NCP","Colgan Air",1991-12-01,2002-09-30,
"ND","Intair",1981-07-01,1991-12-31,
"NEB","New Born Wings Inc.",1960-01-01,2002-09-30,
"NEC","Nor East Commuter Airlines",1960-01-01,2002-09-30,
"NEQ","North East Cargo Airlines",1996-06-01,1997-04-30,
"NER","Northeast Express Regional",1990-09-01,1995-12-31,
"NET","Nacnet",1997-09-01,2000-12-31,
"NEV","Nevada Airlines",1960-01-01,2002-09-30,
"NEW","New England Airlines Inc.",1960-01-01,2002-09-30,
"NEW","New England Airlines Inc.",2002-10-01,,
"NEX","Northeast Express Regional",1992-01-01,1995-12-31,
"NFA","National Florida Airlines",1981-12-01,2002-09-30,
"NFQ","North Cariboo Flying Serv.",1981-07-01,1989-12-31,
"NG","Lauda Air Luftfahrt Ag",1991-06-01,2001-10-31,
"NGL","Northern Eagle Airways Inc.",1960-01-01,2002-09-30,
"NH","All Nippon Airways Co.",1986-11-01,,
"NHA","Newair Flight Inc.",1960-01-01,2002-09-30,
"NI","Lanica",1981-07-01,1989-12-31,
"NJA","N. J. Merrimack Airlines",1960-01-01,2002-09-30,
"NJE","NetJets Transportes Aereos, S.A.",2006-12-01,,
"NJ","Vanguard Airlines Inc.",1994-11-01,1999-12-31,
"NJ","Vanguard Airlines Inc.",2000-01-01,2002-09-30,
"NKQ","Norcanair",1981-07-01,1989-12-31,
"NK","Spirit Air Lines",1992-07-01,1998-12-31,
"NK","Spirit Air Lines",1999-01-01,2012-12-31,
"NK","Spirit Air Lines",2013-01-01,,
"NLQ","Nolinor Aviation",2003-01-01,,
"NN","Northward Airlines Ltd.",1981-07-01,1989-12-31,
"NOQ","Novair Airlines Ab",1999-10-01,1999-12-31,
"NPA","North Pacific Airlines Inc.",1985-01-01,1985-12-31,
"NPT","E. J. A. Newport Inc.",1960-01-01,2002-09-30,
"NQ","Air Japan Co",2001-03-01,,
"NRN","Northern Airlines Inc.",1982-06-01,2002-09-30,
"NSQ","North Coast Air Services",1981-07-01,1989-12-31,
"NTH","Northaire",1960-01-01,2002-09-30,
"NTQ","National Aviation Consult.",1981-07-01,1989-12-31,
"NTX","Grand Airways Inc.",1989-09-01,1994-12-31,
"NUM","Lake State Airways",1960-01-01,2002-09-30,
"NUQ","Air Niugini",1981-07-01,1989-12-31,
"NVQ","Novair International Airways Ltd.",1990-01-01,1990-04-30,
"NVX","Nevis Express",1999-10-01,2002-09-30,
"NVX","Nevis Express",2002-10-01,2004-12-31,
"NW","Northwest Airlines Inc.",1960-01-01,2009-12-31,
"NWQ","N. W. Territorial Airways",1981-07-01,,
"NWS","Northwest Seaplanes",1993-12-01,2002-09-30,
"NWS","Northwest Seaplanes",2002-10-01,2005-10-31,
"NXQ","North Vancouver Air",2002-10-01,2003-03-31,
"NYH","New York Helicopter Corp.",1960-01-01,2002-09-30,
"NY","New York Air Inc.",1980-12-01,1986-12-31,
"NZ","Air New Zealand",1990-11-01,,
"O6","Oceanair Linhas Aereas S A",2015-09-01,,
"OAK","Harbor Airlines Inc.",1960-01-01,2002-09-30,
"OA","Olympic Airways",1981-07-01,2009-12-31,
"OAS","Olson Air Service",1987-06-01,2001-12-31,
"OAS","Olson Air Service",2002-01-01,2003-03-31,
"OB","Oasis International Airlines S.A.",1993-07-01,1996-11-30,
"OC","Air California Inc.",1979-01-01,1987-03-31,
"OCR","Ocean Reef Airways Inc.",1960-01-01,2002-09-30,
"OD","Emerald Airlines Inc.",1982-06-01,1991-06-30,
"OE","Westair Airlines Inc.",1988-04-01,1993-06-30,
"OF","Air Finland Ltd.",2007-10-01,,
"OFF","Offshore Logistics",1960-01-01,2002-09-30,
"OG","Air Guadeloupe",1991-12-01,1993-01-31,
"OGZ","Flying Boat Inc.",1960-01-01,2002-09-30,
"OHA","Omaha Aviation",1960-01-01,2002-09-30,
"OH","Comair Inc.",2000-05-01,2004-12-31,
"OH","Comair Inc.",2005-01-01,2010-12-31,
"OH","Comair Inc.",2011-01-01,2012-09-30,
"OH","PSA Airlines Inc.",2015-07-01,,
"OHZ","Caribbean Air Services Inc.",1960-01-01,1986-12-31,
"OI","Paradise Airways",1995-03-01,1996-02-29,
"OI","Prestige Airways",1996-03-01,1997-09-30,
